Year,AlaskaHuman,NorthwestHuman,NorthernCaliforniaHuman,SouthernCaliforniaHuman,NorthernRockiesHuman,GreatBasinHuman,WesternGreatBasinHuman,SouthwestHuman,RockyMountainsHuman,EasternAreaHuman,SouthernAreaHuman,TotalHuman,AlaskaNature,NorthwestNature,NorthernCaliforniaNature,SouthernCaliforniaNature,NorthernRockiesNature,GreatBasinNature,WesternGreatBasinNature,SouthwestNature,RockyMountainsNature,EasternAreaNature,SouthernAreaNature,TotalNature
2022,118.43,1635.8,1907.68,846.73,560.45,2703.3,0,9188.03,2525.96,609.86,13605.45,33701.69,30991.33,4679.8,562.21,26.76,1677,1662.66,0,651.53,209.06,33.55,1575.7,42069.6
2021,98.94,3657.42,10245.38,824.05,2436.03,724.16,0,3519.28,2637.58,1223.82,4870.93,30237.59,2434.63,11372.84,9209.67,2379.72,8260.57,3007.48,0,2889.35,724.28,302.87,457.43,41018.84
2020,2.84,15169.1,12299.91,9277.22,2309.28,4314.87,0,3687.29,7919.96,598.58,4409.08,59988.13,1808.85,4670.6,15490.12,2164.92,1721.18,5173.25,0,6715.04,2299.55,31.78,1159.94,41235.23
2019,440.61,1403.21,1904.26,361.46,318.94,1265.84,0,2029.18,497.43,387.73,3561.88,12173.24,24540.98,1091.55,243.16,186.76,421.48,3328,0,2580.87,649.42,0.79,1427.37,34470.38
2018,289.46,6095.78,14044.63,3241.02,483.72,10307.61,0,3095.46,5044.16,3.74,13299.45,56404.89,3817.37,7265.18,924.87,246.21,987.21,10571.61,0,2396.89,2445.4,3.74,2161.55,31270.03
2017,68.9,4658.64,3431.95,5326.4,1351.31,7887.69,0,2078.18,6451.62,414.59,16635.48,48304.76,6461.33,6555.78,3292.53,632.33,14161.44,13150.19,0,3632.03,1095.85,2.46,2972.16,51956.1
2016,100.69,4361.06,936.99,4647.18,842.49,3333.18,0,2191.03,5308.31,970.94,14974.23,37666.1,4863.98,771.2,30.07,144.89,1178.91,4283.04,0,3655.17,1560.9,9.48,936.21,17433.85
2015,266.52,7022.06,3087.62,969.9,779.05,490.66,0,195.96,1638.71,1000.94,4673.19,20124.61,50847.52,11212.67,2852.86,2079.35,6680.42,4564.17,0,1828.9,169.51,2,889.48,81126.88
2014,2229.09,1475.83,1819.65,740.82,290.88,433.63,121.45,742.19,718.23,538.55,740.82,15827.7,106.52,12359.31,2928.61,61.36,1142.63,621.87,471.07,1560.22,65.22,2.86,808.76,20128.43
2013,1617.67,1158.42,1516.77,3803.9,401.84,300.49,104.59,999,352.58,646.35,1718.19,12619.8,11551.09,3881.51,135.17,320.91,1392.75,7379.05,1523.82,2260.85,2018.63,3.57,108.31,30575.66
2012,338.4,1273.03,1788.18,805.39,2793.69,4830.19,926.71,1064.21,3934.77,1192.74,6055.18,25002.49,2530.47,13882.93,5926.68,193.75,12186.03,14058.73,5204.55,4370.39,8505.96,269.34,1131.03,68259.89
2011,252.36,300.38,200.51,804.27,182.19,642.8,540.16,18104.45,3007.76,1175.21,28357.62,53567.71,2677.82,2732.22,41.49,244.02,1804.05,3982.19,3701.52,4675.81,2162.28,956.51,10568.05,33545.96
2010,1067.59,706.84,227.01,672.36,255.74,1836.84,31.73,698.6,1187.02,1286.49,5063.37,13034.49,10186.6,798.69,129.73,166.6,449,5283.35,206.94,2446.98,329.29,14.54,1181.03,21192.75
2009,438.87,295.92,579.97,2964.29,326.51,169.75,260.46,2106.42,768.42,1182.3,11634.55,20727.46,29077.1,1483.28,494.14,95.45,363.65,1199.95,73.19,4754.36,303.46,4.27,641.55,38490.4
2008,18.57,997.06,910.22,4542.49,1056.34,1203.91,177.69,3392.01,1175.54,693.96,20132.12,34299.91,607.91,1832.53,8521.33,261.4,1237.55,253.21,541.61,2343.31,1111.47,4.2,1910.25,18624.77
2007,590.07,2443.35,1531.54,8559.78,2378.35,2886.27,460.57,906.6,854.42,2307.5,11575.15,34493.6,4660.1,6188.79,553.94,436.14,8467.34,21228.01,8441.14,771.95,765.02,193.02,7081.46,58786.91
2006,1472.92,1120.98,1469.99,3428.64,1260.78,2782.88,469.47,3928.92,2096.93,1151.71,24865.22,44048.44,1189.74,8439.84,1746.54,242.32,10403.98,9661.64,13019.24,3686.26,4490.89,350.2,1458.36,54689.01
2005,81.84,2190.12,376.58,617.28,536.16,1872.48,438.11,2670.43,483.56,855.89,5090.82,15213.27,44319.65,1221.31,254.17,794.5,754.5,7661.14,9883.03,5717.34,378.57,18.34,679.82,71680.62
2004,177.89,581.78,1467.2,840.75,235.85,136.36,138.64,630.62,353.46,1010.89,4074.56,9648,65060.28,644.6,36.89,83.33,148.45,755.51,259.27,2396.19,169.21,3.09,553.41,70110.23
2003,220.93,1263.81,964.15,6530.16,1373.09,1829.16,51.61,1273.32,878.23,2353.91,2484.12,19222.49,5372.39,2343.31,456.24,48.12,7441.5,1729.58,124.18,1483.84,933.54,1.25,450.48,20384.43
2002,4273.21,1055.44,395.6,4124.47,658.91,1019.86,292.88,7722.99,6616.79,1049,3562.04,30771.19,17493.44,9885.27,426.88,156.61,984.02,2233.04,482.63,3456.94,4285.1,16.7,1555.3,40975.93
2001,2068.44,986.77,1012.4,1012.4,299.81,1149.96,576.36,202.29,754.83,1962.26,7616.05,17486.61,100.39,3.94,1852.12,1356.89,1374.55,5071.9,623.09,1906.67,64.53,412.09,5459.83,18226
