Year,AlaskaHuman,NorthwestHuman,NorthernCaliforniaHuman,SouthernCaliforniaHuman,NorthernRockiesHuman,GreatBasinHuman,WesternGreatBasinHuman,SouthwestHuman,RockyMountainsHuman,EasternAreaHuman,SouthernAreaHuman,TotalHuman,AlaskaNature,NorthwestNature,NorthernCaliforniaNature,SouthernCaliforniaNature,NorthernRockiesNature,GreatBasinNature,WesternGreatBasinNature,SouthwestNature,RockyMountainsNature,EasternAreaNature,SouthernAreaNature,TotalNature
2022,313,2295,3244,4345,1649,1171,0,1379,1584,8485,36964,61429,282,1225,185,115,1061,949,0,754,808,107,1981,7467
2021,262,3075,3621,5083,2981,1362,0,1657,2146,10725,21729,52641,122,1000,341,241,1071,1087,0,747,1170,130,435,6344
2020,181,3107,4248,5295,2779,2154,0,2743,2063,13004,17989,53563,168,746,430,124,625,804,0,746,789,171,784,5387
2019,349,2260,3284,4556,1623,1387,0,1895,948,5712,22101,44115,371,1430,420,76,686,921,0,786,736,38,898,6362
2018,229,2787,3428,4322,2137,1631,0,2072,1394,6822,26754,51576,138,977,174,131,604,1145,0,1216,1086,69,967,6507
2017,209,2150,3445,5201,2646,1988,0,2172,2150,9757,33828,63546,155,1254,728,188,1254,1139,0,922,1014,59,1240,7953
2016,343,2082,3266,3900,1784,1251,0,2084,2048,11163,33011,60932,229,437,97,96,916,812,0,1413,1247,107,1436,6790
2015,351,2898,3802,3778,2246,985,0,1327,1909,11553,30067,58916,417,1705,785,397,1571,1111,0,986,650,86,1527,9235
2014,329,2155,3605,3527,1646,782,247,1380,1667,6996,33345,55679,55,2417,477,259,1019,937,284,840,689,34,922,7933
2013,391,2107,4703,4334,1468,773,215,1519,1455,7056,14328,38349,212,2282,596,274,1305,1441,542,1238,1166,54,120,9230
2012,275,1449,3356,4146,2105,1140,367,1410,3592,10942,29549,58331,141,856,180,266,1328,1259,577,1224,1992,205,1415,9443
2011,377,1342,2791,4633,1109,712,383,2104,2105,8992,39329,63877,138,808,301,258,944,1168,432,1678,1328,161,3033,10249
2010,359,1078,2502,3394,1107,810,212,1600,1962,15675,36108,64807,330,1110,441,216,633,1036,273,947,941,169,1068,7164
2009,328,1624,3677,4412,1344,726,209,2074,1434,15719,38103,69650,199,1843,890,179,1212,1086,478,1546,1090,62,557,9142
2008,265,1365,3407,5208,1971,826,224,2013,1616,11152,42043,70093,75,1624,1400,174,679,835,224,1027,941,171,1706,8856
2007,247,2346,3093,5140,2005,1048,425,1730,1876,12453,43083,73446,201,1486,574,291,1363,1434,463,1869,1672,330,2578,12261
2006,254,2666,3676,3166,2303,943,331,2511,2968,14227,47175,80220,54,2170,948,409,1970,2259,943,3220,2479,256,1457,16165
2005,296,1924,3010,3781,1183,813,262,3287,1940,13014,28920,58430,311,901,186,272,748,1345,536,1935,1398,175,516,8323
2004,426,1901,3613,3845,1883,526,173,1491,704,11781,27758,54101,270,2042,670,323,1090,1760,781,2062,1340,88,958,11384
2003,379,2370,3795,3929,1970,944,227,1657,4214,14851,16479,50815,72,1605,966,428,1921,2004,569,2702,1918,102,489,12776
2002,378,2148,3789,4060,1665,730,215,2668,2118,12857,31394,62022,165,1797,301,179,1130,1602,556,2469,2039,372,825,11435
2001,320,2160,1060,4099,1801,2160,277,2096,4135,18743,34605,70066,29,159,2238,832,1041,2405,1697,2298,2114,889,392,14094
