Year,AlaskaHuman,NorthwestHuman,NorthernCaliforniaHuman,SouthernCaliforniaHuman,NorthernRockiesHuman,GreatBasinHuman,WesternGreatBasinHuman,SouthwestHuman,RockyMountainsHuman,EasternAreaHuman,SouthernAreaHuman,TotalHuman,AlaskaNature,NorthwestNature,NorthernCaliforniaNature,SouthernCaliforniaNature,NorthernRockiesNature,GreatBasinNature,WesternGreatBasinNature,SouthwestNature,RockyMountainsNature,EasternAreaNature,SouthernAreaNature,TotalNature
2022,"11,843","163,580","190,768","84,673","56,045","270,330",0,"918,803","252,596","60,986","1,360,545","3,370,169","3,099,133","467,980","56,221","2,676","167,700","166,266",0,"65,153","20,906","3,355","157,570","4,206,960"
2021,"9,894","365,742","1,024,538","82,405","243,603","72,416",0,"351,928","263,758","122,382","487,093","3,023,759","243,463","1,137,284","920,967","237,972","826,057","300,748",0,"288,935","72,428","30,287","45,743","4,101,884"
2020,284,"1,516,910","1,229,991","927,722","230,928","431,487",0,"368,729","791,996","59,858","440,908","5,998,813","180,885","467,060","1,549,012","216,492","172,118","517,325",0,"671,504","229,955","3,178","115,994","4,123,523"
2019,"44,061","140,321","190,426","36,146","31,894","126,584",0,"202,918","49,743","38,773","356,188","1,217,324","2,454,098","109,155","24,316","18,676","42,148","332,800",0,"258,087","64,942",79,"142,737","3,447,038"
2018,"28,946","609,578","1,404,463","324,102","48,372","1,030,761",0,"309,546","504,416",374,"1,329,945","5,640,489","381,737","726,518","92,487","24,621","98,721","1,057,161",0,"239,689","244,540",374,"216,155","3,127,003"
2017,"6,890","465,864","343,195","532,640","135,131","788,769",0,"207,818","645,162","41,459","1,663,548","4,830,476","646,133","655,578","329,253","63,233","1,416,144","1,315,019",0,"363,203","109,585",246,"297,216","5,195,610"
2016,"10,069","436,106","93,699","464,718","84,249","333,318",0,"219,103","530,831","97,094","1,497,423","3,766,610","486,398","77,120","3,007","14,489","117,891","428,304",0,"365,517","156,090",948,"93,621","1,743,385"
2015,"26,652","702,206","308,762","96,990","77,905","49,066",0,"19,596","163,871","100,094","467,319","2,012,461","5,084,752","1,121,267","285,286","207,935","668,042","456,417",0,"182,890","16,951",200,"88,948","8,112,688"
2014,"222,909","147,583","181,965","74,082","29,088","43,363","12,145","74,219","71,823","53,855","74,082","1,582,770","10,652","1,235,931","292,861","6,136","114,263","62,187","47,107","156,022","6,522",286,"80,876","2,012,843"
2013,"161,767","115,842","151,677","380,390","40,184","30,049","10,459","99,900","35,258","64,635","171,819","1,261,980","1,155,109","388,151","13,517","32,091","139,275","737,905","152,382","226,085","201,863",357,"10,831","3,057,566"
2012,"33,840","127,303","178,818","80,539","279,369","483,019","92,671","106,421","393,477","119,274","605,518","2,500,249","253,047","1,388,293","592,668","19,375","1,218,603","1,405,873","520,455","437,039","850,596","26,934","113,103","6,825,989"
2011,"25,236","30,038","20,051","80,427","18,219","64,280","54,016","1,810,445","300,776","117,521","2,835,762","5,356,771","267,782","273,222","4,149","24,402","180,405","398,219","370,152","467,581","216,228","95,651","1,056,805","3,354,596"
2010,"106,759","70,684","22,701","67,236","25,574","183,684","3,173","69,860","118,702","128,649","506,337","1,303,449","1,018,660","79,869","12,973","16,660","44,900","528,335","20,694","244,698","32,929","1,454","118,103","2,119,275"
2009,"43,887","29,592","57,997","296,429","32,651","16,975","26,046","210,642","76,842","118,230","1,163,455","2,072,746","2,907,710","148,328","49,414","9,545","36,365","119,995","7,319","475,436","30,346",427,"64,155","3,849,040"
2008,"1,857","99,706","91,022","454,249","105,634","120,391","17,769","339,201","117,554","69,396","2,013,212","3,429,991","60,791","183,253","852,133","26,140","123,755","25,321","54,161","234,331","111,147",420,"191,025","1,862,477"
2007,"59,007","244,335","153,154","855,978","237,835","288,627","46,057","90,660","85,442","230,750","1,157,515","3,449,360","466,010","618,879","55,394","43,614","846,734","2,122,801","844,114","77,195","76,502","19,302","708,146","5,878,691"
2006,"147,292","112,098","146,999","342,864","126,078","278,288","46,947","392,892","209,693","115,171","2,486,522","4,404,844","118,974","843,984","174,654","24,232","1,040,398","966,164","1,301,924","368,626","449,089","35,020","145,836","5,468,901"
2005,"8,184","219,012","37,658","61,728","53,616","187,248","43,811","267,043","48,356","85,589","509,082","1,521,327","4,431,965","122,131","25,417","79,450","75,450","766,114","988,303","571,734","37,857","1,834","67,982","7,168,062"
2004,"17,789","58,178","146,720","84,075","23,585","13,636","13,864","63,062","35,346","101,089","407,456","964,800","6,506,028","64,460","3,689","8,333","14,845","75,551","25,927","239,619","16,921",309,"55,341","7,011,023"
2003,"22,093","126,381","96,415","653,016","137,309","182,916","5,161","127,332","87,823","235,391","248,412","1,922,249","537,239","234,331","45,624","4,812","744,150","172,958","12,418","148,384","93,354",125,"45,048","2,038,443"
2002,"427,321","105,544","39,560","412,447","65,891","101,986","29,288","772,299","661,679","104,900","356,204","3,077,119","1,749,344","988,527","42,688","15,661","98,402","223,304","48,263","345,694","428,510","1,670","155,530","4,097,593"
2001,"206,844","98,677","101,240","101,240","29,981","114,996","57,636","20,229","75,483","196,226","761,605","1,748,661","10,039",394,"185,212","135,689","137,455","507,190","62,309","190,667","6,453","41,209","545,983","1,822,600"
