table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,,,,,
Geographic Area,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
United States,"315,993,715","318,301,008","320,635,163","322,941,311","324,985,539","326,687,501","328,239,523","331,511,512","332,031,554","333,287,557"
Northeast,"55,901,806","56,006,011","56,034,684","56,042,330","56,059,240","56,046,620","55,982,803","57,448,898","57,259,257","57,040,406"
Midwest,"67,560,379","67,745,167","67,860,583","67,987,540","68,126,781","68,236,628","68,329,004","68,961,043","68,836,505","68,787,595"
South,"118,364,400","119,624,037","120,997,341","122,351,760","123,542,189","124,569,433","125,580,448","126,450,613","127,346,029","128,716,192"
West,"74,167,130","74,925,793","75,742,555","76,559,681","77,257,329","77,834,820","78,347,268","78,650,958","78,589,763","78,743,364"
.Alabama,"4,830,081","4,841,799","4,852,347","4,863,525","4,874,486","4,887,681","4,903,185","5,031,362","5,049,846","5,074,296"
.Alaska,"737,068","736,283","737,498","741,456","739,700","735,139","731,545","732,923","734,182","733,583"
.Arizona,"6,632,764","6,730,413","6,829,676","6,941,072","7,044,008","7,158,024","7,278,717","7,179,943","7,264,877","7,359,197"
.Arkansas,"2,959,400","2,967,392","2,978,048","2,989,918","3,001,345","3,009,733","3,017,804","3,014,195","3,028,122","3,045,637"
.California,"38,260,787","38,596,972","38,918,045","39,167,117","39,358,497","39,461,588","39,512,223","39,501,653","39,142,991","39,029,342"
.Colorado,"5,269,035","5,350,101","5,450,623","5,539,215","5,611,885","5,691,287","5,758,736","5,784,865","5,811,297","5,839,926"
.Connecticut,"3,594,841","3,594,524","3,587,122","3,578,141","3,573,297","3,571,520","3,565,287","3,597,362","3,623,355","3,626,205"
.Delaware,"923,576","932,487","941,252","948,921","956,823","965,479","973,764","992,114","1,004,807","1,018,396"
.District of Columbia,"650,581","662,328","675,400","685,815","694,906","701,547","705,749","670,868","668,791","671,803"
.Florida,"19,545,621","19,845,911","20,209,042","20,613,477","20,963,613","21,244,317","21,477,737","21,589,602","21,828,069","22,244,823"
.Georgia,"9,972,479","10,067,278","10,178,447","10,301,890","10,410,330","10,511,131","10,617,423","10,729,828","10,788,029","10,912,876"
