Date,Acres Burned,Number of Fires,Acres Burned per Fire
200001,40757,2796,14.58
200002,208967,8467,24.68
200003,549866,18779,29.28
200004,732579,28015,26.15
200005,1027072,39865,25.76
200006,1633941,49000,33.35
200007,3488932,60293,57.87
200008,6002534,71510,83.94
200009,6852561,80158,85.49
200010,7048206,87809,80.27
200011,7309887,91094,80.25
200012,7393493,92250,80.15
200101,44334,1231,36.01
200102,163206,7792,20.95
200103,266547,14412,18.49
200104,468562,15407,30.41
200105,726576,33876,21.45
200106,1094120,40837,26.79
200107,1482014,49091,30.19
200108,2840500,56670,50.12
200109,3221391,63067,51.08
200110,3255259,69290,46.98
200111,3355138,79513,42.2
200112,3570911,84079,42.47
200201,10079,1383,7.29
200202,65566,6032,10.87
200203,200752,14718,13.64
200204,378640,22083,17.15
200205,1115133,30817,36.19
200206,2817641,44759,62.95
200207,3916219,52107,75.16
200208,6302166,62090,101.5
200209,6578985,67265,97.81
200210,6707556,69274,96.83
200211,7117812,71342,99.77
200212,7184712,73457,97.81
200301,18818,1964,9.58
200302,49695,3994,12.44
200303,93980,7395,12.71
200304,319821,14461,22.12
200305,405937,21542,18.84
200306,767018,27286,28.11
200307,1737345,34415,50.48
200308,2656647,44560,59.62
200309,3167289,49180,64.4
200310,3337304,55533,60.1
200311,3815952,57637,66.21
200312,3960842,63629,62.25
200401,15386,1740,8.84
200402,55173,4587,12.03
200403,150630,13658,11.03
200404,370100,24393,15.17
200405,531270,32068,16.57
200406,1673557,38622,43.33
200407,5112904,45250,112.99
200408,7135900,54825,130.16
200409,7737472,60934,126.98
200410,8042281,62852,127.96
200411,8063941,64220,125.57
200412,8097880,65461,123.71
200501,9735,1674,5.82
200502,28149,4192,6.71
200503,130797,9253,14.14
200504,266894,18263,14.61
200505,374405,25058,14.94
200506,1705654,29742,57.35
200507,4318557,37206,116.07
200508,7396975,45482,162.64
200509,8160688,53175,153.47
200510,8256081,56589,145.9
200511,8433600,60678,138.99
200512,8689389,66753,130.17
200601,330447,3507,94.22
200602,411011,5936,69.24
200603,1849366,20942,88.31
200604,2240787,34689,64.6
200605,2556162,41845,61.09
200606,3752513,57248,65.55
200607,5164996,69656,74.15
200608,7599563,78948,96.26
200609,9074358,83752,108.35
200610,9400909,86391,108.82
200611,9508251,89792,105.89
200612,9873745,96385,102.44
200701,4597,387,11.88
200702,35351,4178,8.46
200703,261411,16264,16.07
200704,475431,24072,19.75
200705,1334672,36714,36.35
200706,1837507,46368,39.63
200707,4623092,56636,81.63
200708,6908449,64377,107.31
200709,8226003,72944,112.77
200710,8695499,76731,113.32
200711,8900885,79129,112.49
200712,9328045,85705,108.84
200801,40804,1380,29.57
200802,254987,5829,43.74
200803,516243,11088,46.56
200804,1274533,19330,65.94
200805,1501036,27120,55.35
200806,2173153,36656,59.29
200807,3476863,54008,64.38
200808,4662391,64221,72.6
200809,4734350,67949,69.68
200810,5034070,73352,68.63
200811,5131089,75789,67.7
200812,5292468,78979,67.01
200901,57150,2481,23.04
200902,177597,7976,22.27
200903,541244,21731,24.91
200904,1059779,30937,34.26
200905,1410776,41785,33.76
200906,1904044,48399,39.34
200907,3257928,54656,59.61
200908,5238183,64682,80.98
200909,5616706,70217,79.99
200910,5708150,73206,77.97
200911,5835801,77044,75.75
200912,5921786,78792,75.16
201001,19052,1081,17.62
201002,34543,2302,15.01
201003,140617,8535,16.48
201004,323448,20221,16
201005,674222,25784,26.15
201006,1486681,29811,49.87
201007,1978537,36826,53.73
201008,2605980,43544,59.85
201009,2972240,57142,52.01
201010,3182499,61736,51.55
201011,3305227,66013,50.07
201012,3422724,71971,47.56
201101,17352,1526,11.37
201102,204373,9752,20.96
201103,589416,17068,34.53
201104,2380885,23232,102.48
201105,3450882,29857,115.58
201106,4795942,36424,131.67
201107,6091572,45632,133.49
201108,6956042,53870,129.13
201109,7721459,60422,127.79
201110,8229183,63821,128.94
201111,8499701,66629,127.57
201112,8711367,74126,117.52
201201,62909,1758,35.78
201202,92646,4997,18.54
201203,182417,10351,17.62
201204,373479,17857,20.91
201205,710661,22292,31.88
201206,2073954,27707,74.85
201207,4088349,37576,108.8
201208,7724955,44524,173.5
201209,8802721,48258,182.41
201210,9003581,51811,173.78
201211,9156278,55505,164.96
201212,9221639,67265,137.09
201301,8573,964,8.89
201302,21005,2304,9.12
201303,93125,6919,13.46
201304,141544,11673,12.13
201305,247787,18004,13.76
201306,1500506,22050,68.05
201307,2367271,28199,83.95
201308,3848380,35287,109.06
201309,4063643,38859,104.57
201310,4083157,42182,96.8
201311,4169249,44558,93.57
201312,4307176,46615,92.4
201401,38078,2584,14.74
201402,69764,5567,12.53
201403,167686,11591,14.47
201404,320399,19374,16.54
201405,721221,21832,33.04
201406,894081,26295,34
201407,1713323,34367,49.85
201408,2753089,38647,71.24
201409,3059752,41205,74.26
201410,3262635,43151,75.61
201411,3454323,51259,67.39
201412,3587561,63345,56.64
201501,22592,1500,15.06
201502,91581,5751,15.92
201503,151258,8869,17.05
201504,318949,15576,20.48
201505,397136,21648,18.35
201506,2265750,28078,80.69
201507,5726837,36264,157.92
201508,8202557,43819,187.19
201509,9083787,49972,181.78
201510,9407571,53798,174.87
201511,9812481,55895,175.55
201512,10125149,61922,163.51
201601,3131,439,7.13
201602,126621,2894,43.75
201603,776132,9218,84.2
201604,1463263,15485,94.5
201605,1597983,20427,78.23
201606,2124909,25657,82.82
201607,3478169,33852,102.75
201608,4594895,40359,113.85
201609,4880788,45121,108.17
201610,5007751,51676,96.91
201611,5283367,60236,87.71
201612,5446520,65575,83.06
201701,54961,2459,22.35
201702,222727,7812,28.51
201703,1180154,14529,81.23
201704,1998139,20482,97.56
201705,2233125,24664,90.54
201706,2833498,30000,94.45
201707,5490878,39000,140.79
201708,7139461,46493,153.56
201709,8464884,49526,170.92
201710,8831525,52934,166.84
201711,9185901,56186,163.49
201712,9781062,66131,147.9
201801,71189,3257,21.86
201802,138478,6457,21.45
201803,530488,12754,41.59
201804,976686,17692,55.2
201805,1684097,23889,70.5
201806,2496598,29001,86.09
201807,4810195,37718,127.53
201808,6939283,45579,152.25
201809,7781236,49299,157.84
201810,8247610,51090,161.43
201811,8484067,52511,161.57
201812,8582609,55911,153.5
201901,13095,1139,11.5
201902,40699,2157,18.87
201903,171207,7091,24.14
201904,211923,10625,19.95
201905,332791,15963,20.85
201906,1664759,21620,77
201907,3235456,27191,118.99
201908,4237043,35956,117.84
201909,4432941,42583,104.1
201910,4566954,44897,101.72
201911,4616654,47217,97.78
201912,4630007,49786,93
202001,16791,1136,14.78
202002,43219,2511,17.21
202003,112021,5885,19.04
202004,220823,11884,18.58
202005,385712,18117,21.29
202006,1421675,24056,59.1
202007,2052246,31632,64.88
202008,3980809,39829,99.95
202009,7524840,44161,170.4
202010,8545166,47194,181.06
202011,9539554,52934,180.22
202012,10274679,58258,176.37
202101,27358,1600,17.1
202102,60064,2986,20.12
202103,324559,10518,30.86
202104,457138,17593,25.98
202105,680436,24835,27.4
202106,1472510,30626,48.08
202107,2982960,37650,79.23
202108,4887466,42889,113.96
202109,5907288,46091,128.17
202110,6523989,48366,134.89
202111,6802729,54350,125.17
202112,7139713,58733,121.56
202201,25691,1302,19.73
202202,149774,7087,21.13
202203,517839,14781,35.03
202204,1120330,22324,50.19
202205,1920233,28046,68.47
202206,3922641,33926,115.62
202207,5712925,39226,145.64
202208,6137232,48211,127.3
202209,6885264,53605,128.44
202210,7211472,59547,121.11
202211,7343939,64127,114.52
202212,7534403,66255,113.72
202301,12882,1688,7.63
202302,63647,4278,14.88
202303,123470,7776,15.88
202304,392287,12972,30.24
202305,510058,18015,28.31
202306,673824,23712,28.42
202307,1139857,30219,37.72
202308,2007395,39299,51.08
202309,2442088,44195,55.26
